country_code,state_code,state_name,geonameid
AD,06,sant julià de loria,3039162
AD,05,ordino,3039676
AD,04,la massana,3040131
AD,03,encamp,3040684
AD,02,canillo,3041203
AD,07,andorra la vella,3041566
AD,08,escaldes-engordany,3338529
AE,07,umm al qaywayn,290595
AE,05,raʼs al khaymah,291075
AE,03,dubai,292224
AE,06,sharjah,292673
AE,04,fujairah,292879
AE,02,ajman,292933
AE,01,abu dhabi,292969
AF,28,zabul,1121143
AF,27,maidan wardak province,1121863
AF,26,takhar,1123230
AF,33,sar-e pol province,1127106
AF,32,samangan,1127766
AF,40,parwan,1131054
AF,29,paktika,1131256
AF,36,paktia,1131257
AF,39,oruzgan,1131461
AF,19,nimroz,1131821
AF,18,nangarhar,1132366
AF,17,logar,1134561
AF,35,laghman,1135022
AF,24,kunduz,1135690
AF,34,kunar,1135702
AF,14,kapisa,1138255
AF,23,kandahar,1138335
AF,13,kabul,1138957
AF,31,jowzjan,1139049
AF,11,herat,1140025
AF,10,helmand,1140043
AF,09,ghowr,1141103
AF,08,ghazni,1141268
AF,07,faryab,1142226
AF,06,farah,1142263
AF,05,bamyan,1147239
AF,30,balkh,1147288
AF,03,baghlan,1147537
AF,02,badghis,1147707
AF,01,badakhshan,1147745
AF,37,khowst,1444362
AF,38,nuristan,1444363
AF,41,daykundi,6957553
AF,42,panjshir,6957555
AG,08,saint philip parish,3576015
AG,07,saint peter parish,3576016
AG,06,saint paul parish,3576017
AG,05,saint mary parish,3576018
AG,04,saint john parish,3576023
AG,03,saint george parish,3576024
AG,09,redonda,3576037
AG,01,barbuda,3576390
AI,11205389,blowing point,11205389
AI,11205392,sandy ground,11205392
AI,11205393,sandy hill,11205393
AI,11205396,the valley,11205396
AI,11205433,east end,11205433
AI,11205436,north hill,11205436
AI,11205437,west end,11205437
AI,11205438,south hill,11205438
AI,11205439,the quarter,11205439
AI,11205440,north side,11205440
AI,11205441,island harbour,11205441
AI,11205442,george hill,11205442
AI,11205443,stoney ground,11205443
AI,11205444,the farrington,11205444
AL,40,berat county,865730
AL,41,dibër county,865731
AL,43,elbasan county,865732
AL,45,gjirokastër county,865733
AL,46,korçë county,865734
AL,47,kukës county,865735
AL,42,durrës county,3344947
AL,44,fier county,3344948
AL,48,lezhë county,3344949
AL,49,shkodër county,3344950
AL,50,tirana,3344951
AL,51,vlorë county,3344952
AM,02,ararat,409313
AM,08,syunik,409314
AM,10,vayots dzor,409315
AM,11,yerevan,616051
AM,01,aragatsotn,828259
AM,03,armavir,828260
AM,04,gegharkunik,828261
AM,05,kotayk,828262
AM,06,lori,828263
AM,07,shirak,828264
AM,09,tavush,828265
AO,18,lunda sul,145701
AO,17,luanda norte,145702
AO,14,moxico,875996
AO,04,cuando cobango,876337
AO,16,zaire,2236355
AO,15,uíge,2236566
AO,12,malanje,2239858
AO,20,luanda,2240444
AO,05,cuanza norte,2241660
AO,03,cabinda,2243266
AO,19,bengo,2243598
AO,13,namibe,3347016
AO,09,huíla,3348303
AO,08,huambo,3348310
AO,07,cunene,3349096
AO,06,kwanza sul,3349234
AO,02,bíe,3351640
AO,01,benguela,3351660
AR,14,misiones,3430657
AR,09,formosa,3433896
AR,07,buenos aires f.d.,3433955
AR,08,entre rios,3434137
AR,06,corrientes,3435214
AR,01,buenos aires,3435907
AR,24,tucuman,3833578
AR,23,tierra del fuego,3834450
AR,22,santiago del estero,3835868
AR,21,santa fe,3836276
AR,20,santa cruz,3836350
AR,19,san luis,3837029
AR,18,san juan,3837152
AR,17,salta,3838231
AR,16,rio negro,3838830
AR,15,neuquen,3843122
AR,13,mendoza,3844419
AR,12,la rioja,3848949
AR,11,la pampa,3849574
AR,10,jujuy,3853404
AR,05,cordoba,3860255
AR,04,chubut,3861244
AR,03,chaco,3861887
AR,02,catamarca,3862286
AS,050,western district,5880873
AS,040,swains island,5881199
AS,010,eastern district,5881219
AS,020,manu'a,5881436
AS,030,rose island,7309441
AT,09,vienna,2761367
AT,08,vorarlberg,2762300
AT,07,tyrol,2763586
AT,06,styria,2764581
AT,05,salzburg,2766823
AT,04,upper austria,2769848
AT,03,lower austria,2770542
AT,02,carinthia,2774686
AT,01,burgenland,2781194
AU,08,western australia,2058645
AU,05,south australia,2061327
AU,03,northern territory,2064513
AU,07,victoria,2145234
AU,06,tasmania,2147291
AU,04,queensland,2152274
AU,02,new south wales,2155400
AU,01,australian capital territory,2177478
AX,211,mariehamns stad,9611689
AX,212,ålands landsbygd,9611692
AX,213,ålands skärgård,9611694
AZ,12,beyləqan,146879
AZ,69,zangilan district,146900
AZ,66,yardimli district,146962
AZ,55,shusha,147163
AZ,49,salyan district,147269
AZ,46,sabirabad district,147284
AZ,45,saatlı,147287
AZ,13,bilasuvar district,147310
AZ,36,neftçala,147422
AZ,35,nakhichevan assr,147435
AZ,32,masally,147551
AZ,31,lerik district,147610
AZ,29,lənkəran,147613
AZ,28,lachin rayon,147626
AZ,43,qubadlı,147694
AZ,24,i̇mişli,147983
AZ,18,fuzuli district,148107
AZ,14,jabrayil,148140
